2024-08-26 00:31:48,708:INFO:Database connection established successfully
2024-08-26 00:32:27,882:INFO:Inserted new review: user_id=AHZNGBVQE3VOI5BBCOXXV5W5I7JQ, timestamp=1721154600000
2024-08-26 00:32:27,888:INFO:Inserted new review: user_id=AGUE3GTZGOEEGKZTSZME5CTYXBFQ, timestamp=1713724200000
2024-08-26 00:32:27,894:INFO:Inserted new review: user_id=AGUNDSYDE4G3ZOQBJ22VC445KGQQ, timestamp=1720895400000
2024-08-26 00:32:27,900:INFO:Inserted new review: user_id=AGDIZN7NCBCWZKDIHJVBV54CIDJA, timestamp=1721241000000
2024-08-26 00:32:27,908:INFO:Inserted new review: user_id=AHA3HL2OLDCFGWX7PNLT5M34CLAA, timestamp=1718821800000
2024-08-26 00:32:27,913:INFO:Inserted new review: user_id=AGX5YYIFAHTOXWL6D7EVFCV756RQ, timestamp=1715970600000
2024-08-26 00:32:27,920:INFO:Inserted new review: user_id=AHQNFGSDLDQ7BSQCQYOAJN67SDRA, timestamp=1716921000000
2024-08-26 00:32:27,927:INFO:Inserted new review: user_id=AFEVRJHKI2RQYHI74BDSRMDNXGLQ, timestamp=1723573800000
2024-08-26 00:32:27,932:INFO:Inserted new review: user_id=AEVS7YGLJPA6HMNBR5XP7JXTW7XA, timestamp=1713292200000
2024-08-26 00:32:27,938:INFO:Inserted new review: user_id=AHNFXULFSG6APWP7UESSE3MS5WXQ, timestamp=1719340200000
2024-08-26 00:32:27,938:INFO:Page 7: 10 reviews added, 0 duplicates skipped
2024-08-26 00:32:33,996:INFO:Inserted new review: user_id=AF5KJCPNOGHQUJY7OHXZZJEUA2NA, timestamp=1719426600000
2024-08-26 00:32:34,001:INFO:Inserted new review: user_id=AHKJO5DAMVRYAMAOUT25IBLQ24ZQ, timestamp=1716748200000
2024-08-26 00:32:34,009:INFO:Inserted new review: user_id=AGU7WXJH66MBOECJ2WBSE6D2YV3A, timestamp=1710268200000
2024-08-26 00:32:34,014:INFO:Inserted new review: user_id=AHZMKV4RDNAOC3XJZFBMFXQDVPDA, timestamp=1711737000000
2024-08-26 00:32:34,021:INFO:Inserted new review: user_id=AGR4OP4NSL54KFX7YJE5D5NFW7SQ, timestamp=1707244200000
2024-08-26 00:32:34,026:INFO:Inserted new review: user_id=AE4WULA7DUMOQK5VSOEGUXCEZDEA, timestamp=1711650600000
2024-08-26 00:32:34,032:INFO:Inserted new review: user_id=AFCVK7H2GK22XRP6VPLWCIXZIKSA, timestamp=1720290600000
2024-08-26 00:32:34,039:INFO:Inserted new review: user_id=AHCTYMUJO6IXVLC5HM6ET6M5SZLQ, timestamp=1710268200000
2024-08-26 00:32:34,045:INFO:Inserted new review: user_id=AF2ALKPYZXGJDTXZIYMKKOM2FNCA, timestamp=1718821800000
2024-08-26 00:32:34,050:INFO:Inserted new review: user_id=AHZOYT4NLYTFFTZGLFUUSCHZXUIA, timestamp=1715452200000
2024-08-26 00:32:34,050:INFO:Page 8: 10 reviews added, 0 duplicates skipped
2024-08-26 00:32:40,264:INFO:Inserted new review: user_id=AG75NHFVAZDJMPJ3FYW2YHNDY5CA, timestamp=1717353000000
2024-08-26 00:32:40,270:INFO:Inserted new review: user_id=AGDDBBOQNECFLBPERTJTDDHTJKPQ, timestamp=1718735400000
2024-08-26 00:32:40,276:INFO:Inserted new review: user_id=AGYLOPQYSRHQ6U66NI2ICYFJ52KQ, timestamp=1700764200000
2024-08-26 00:32:40,283:INFO:Inserted new review: user_id=AFMM2ZUXRNGYKNHMQYEV3UNZC4UA, timestamp=1708713000000
2024-08-26 00:32:40,290:INFO:Inserted new review: user_id=AHNWCYBEL7F5LKTWMBWLRQ3WD5IQ, timestamp=1716489000000
2024-08-26 00:32:40,296:INFO:Inserted new review: user_id=AE5TBUJYBJRVEO46TLACZIWIRQQQ, timestamp=1719253800000
2024-08-26 00:32:40,302:INFO:Inserted new review: user_id=AFSEKLMVYQ7OEYLHW2UIEYKRYYKA, timestamp=1718562600000
2024-08-26 00:32:40,309:INFO:Inserted new review: user_id=AFEOTDEAL2SMBMYTZ4PNKRQMNR4A, timestamp=1715970600000
2024-08-26 00:32:40,314:INFO:Inserted new review: user_id=AHLRQ3HV2VN6DWVHBU43CWMZJSHA, timestamp=1714501800000
2024-08-26 00:32:40,320:INFO:Inserted new review: user_id=AEYOGRQ35MKRPV64MNSCGVT44UOA, timestamp=1711823400000
2024-08-26 00:32:40,320:INFO:Page 9: 10 reviews added, 0 duplicates skipped
2024-08-26 00:32:46,523:INFO:Inserted new review: user_id=AHIZTJ6VEZGJ5FYHLF2EPQBFCHDQ, timestamp=1713983400000
2024-08-26 00:32:46,529:INFO:Inserted new review: user_id=AF2FEDDL7XPSHARUSPD6QWLSGVGA, timestamp=1714761000000
2024-08-26 00:32:46,535:INFO:Inserted new review: user_id=AFQYL63RB3TVG3MEC2VOEPHBCRUA, timestamp=1712860200000
2024-08-26 00:32:46,540:INFO:Inserted new review: user_id=AFZDTPT5UQ4VA5TTH75UN5MEAF3Q, timestamp=1719945000000
2024-08-26 00:32:46,546:INFO:Inserted new review: user_id=AGHVGTW3HX57Z7THHBLNV3MLDNMQ, timestamp=1718649000000
2024-08-26 00:32:46,551:INFO:Inserted new review: user_id=AEFTSIYNUSJUCFRJ43SD5KTXNL4Q, timestamp=1704911400000
2024-08-26 00:32:46,555:INFO:Inserted new review: user_id=AGBWTMMPZTNU7HSXFVRUR7YIZ6YQ, timestamp=1708885800000
2024-08-26 00:32:46,561:INFO:Inserted new review: user_id=AHP53YEGV4UFLBAAOSTYUUWFI2JQ, timestamp=1716748200000
2024-08-26 00:32:46,568:INFO:Inserted new review: user_id=AFXBQFBDPVFP6ZSVJUXCMUEXIENA, timestamp=1705084200000
2024-08-26 00:32:46,578:INFO:Inserted new review: user_id=AGRHEZHYFEZWSJBMY3IVMOWGOZGA, timestamp=1708713000000
2024-08-26 00:32:46,578:INFO:Page 10: 10 reviews added, 0 duplicates skipped
2024-08-26 00:32:52,636:INFO:No reviews found on page 11. Ending scraping.
2024-08-26 00:32:52,638:INFO:Reviews extracted and saved to reviews.csv
2024-08-26 00:32:52,639:INFO:Scraping completed. Total reviews added: 100
2024-08-26 00:32:52,640:INFO:Database connection closed
